"","CNTRYID","CNTSCHID","age","sex","ESCS","SES","MATH","growth"
"215",360,36000174,16,1,-0.6258,0.790414901441508,468.4384,"1"
"216",360,36000341,16,1,0.6824,2.04643440831055,324.7901,"1"
"217",360,36000384,16,1,-1.5248,-0.0727264658381657,409.4279,"0"
"218",360,36000335,16,1,-1.5289,-0.0766629281361042,332.3946,"0"
"219",360,36000408,16,1,-1.731,-0.270701716041802,410.1813,"0"
"220",360,36000279,16,0,-1.574,-0.119964013413427,474.0252,"1"
"221",360,36000156,16,0,-0.3597,1.04590090570527,482.4915,"1"
"222",360,36000140,16,0,-2.0254,-0.553358911288894,409.3686,"1"
"223",360,36000355,16,0,-1.8414,-0.376698164259461,330.1188,"1"
"224",360,36000090,16,1,-1.722,-0.262060701241449,386.8532,"0"
"225",360,36000148,16,1,-0.5898,0.824978960642919,343.995,"1"
"226",360,36000165,16,0,-1.3884,0.0582329140249571,325.555,"1"
"227",360,36000229,16,1,-1.0823,0.352123428512508,281.1316,"0"
"228",360,36000268,16,0,0.2282,1.61035119471942,403.1393,"0"
"229",360,36000129,16,0,-1.2082,0.23124523258313,383.5696,"0"
"230",360,36000156,16,0,-1.0518,0.381406867558148,406.6932,"0"
"231",360,36000395,16,1,-2.433,-0.944700870469311,367.9155,"0"
"232",360,36000337,16,1,0.3367,1.71452342870145,456.855,"1"
"233",360,36000231,16,1,-1.182,0.256400186779712,314.847,"0"
"234",360,36000377,16,0,-2.3525,-0.867411793643935,305.7542,"0"
"235",360,36000033,16,1,-2.1215,-0.645625747101549,392.2047,"1"
"236",360,36000150,16,0,0.308,1.68696819261588,395.7736,"0"
"237",360,36000047,16,1,-2.3834,-0.897079277791812,315.2626,"0"
"238",360,36000006,16,1,-1.5339,-0.081463491914078,342.3494,"0"
"239",360,36000014,16,1,-1.8388,-0.374201871094915,284.6368,"0"
"240",360,36000315,16,1,-2.1055,-0.630263943012033,342.5657,"0"
"241",360,36000120,16,0,-1.8509,-0.385819235437611,471.5414,"0"
"242",360,36000025,16,0,-1.4391,0.00955519731630364,547.4915,"1"
"243",360,36000174,16,0,-0.723,0.697091941597699,508.8627,"1"
"244",360,36000296,16,1,-0.9776,0.452647234023278,263.7484,"0"
"245",360,36000007,16,0,-1.8174,-0.353655458125187,317.8784,"0"
"246",360,36000166,16,0,-1.6773,-0.219143661066364,253.8727,"0"
"247",360,36000314,16,0,0.4414,1.81504723421222,409.5561,"0"
"248",360,36000395,16,0,-1.1951,0.243822709681421,352.623,"0"
"249",360,36000382,16,0,-1.188,0.250639510246144,284.2069,"0"
"250",360,36000253,16,1,0.671,2.03548912289677,410.5571,"0"
"251",360,36000183,16,1,-0.9972,0.433829024013621,282.0665,"1"
